"","summary.Rhat"
"b[10,9]",1.00158061798847
"b[10,10]",0.999378552712313
"b[10,11]",1.00917688103788
"b[10,12]",1.01193794599892
"b[10,13]",1.00253432128791
"b[10,14]",1.00297084713182
"b[10,15]",1.00128186521975
"b[10,16]",1.0014935529363
"b[11,1]",1.00388335443937
"b[11,2]",1.001841881079
"b[11,3]",0.999702323032991
"b[11,4]",1.00046025372155
"b[11,5]",1.01199425471532
"b[11,6]",1.01652992900147
"b[11,7]",1.00572164232089
"b[11,8]",1.00646122015859
"b[11,9]",1.00231572808837
"b[11,10]",1.0020444957361
"b[11,11]",1.00219750692058
"b[11,12]",0.999665162721332
"b[11,13]",1.00842787734093
"b[11,14]",1.00647193191389
"b[11,15]",1.01917534041721
"b[11,16]",1.04087041677406
"b[12,1]",1.00410238727805
"b[12,2]",1.00095906960122
"b[12,3]",1.0041281145847
"b[12,4]",1.0032298463536
"b[12,5]",1.00547459641045
"b[12,6]",1.02759991089516
"b[12,7]",1.01171484587909
"b[12,8]",1.00342568400454
"b[12,9]",0.999530205629241
"b[12,10]",1.00913697771076
"b[12,11]",1.03062403963987
"b[12,12]",1.00206580892632
"b[12,13]",1.00096567381293
"b[12,14]",1.00445773743122
"b[12,15]",1.00731229045328
"b[12,16]",1.00545411886888
"b[13,1]",1.00260019328077
"b[13,2]",1.01548438910263
"b[13,3]",1.01496627138513
"b[13,4]",1.0015890437995
"b[13,5]",1.00135720144761
"b[13,6]",1.00589086089067
"b[13,7]",1.02356061777096
"b[13,8]",1.00185444925278
"b[13,9]",1.0000267017438
"b[13,10]",1.00508070890251
"b[13,11]",1.01374116435774
"b[13,12]",1.00018489764312
"b[13,13]",1.04114882003368
"b[13,14]",1.01748549179766
"b[13,15]",1.00188643448341
"b[13,16]",1.00555766614216
"b[14,1]",1.00049378876686
"b[14,2]",1.00059034747176
"b[14,3]",1.01651856129516
"b[14,4]",1.00800274253695
"b[14,5]",1.00102357304496
"b[14,6]",1.00581489055353
"b[14,7]",1.00439651645904
"b[14,8]",1.00013426559722
"b[14,9]",1.00139790884706
"b[14,10]",1.00547477013096
"b[14,11]",1.00045074877736
"b[14,12]",1.0012116988374
"b[14,13]",1.00452266767091
"b[14,14]",1.00454628025196
"b[14,15]",1.0000938914562
"b[14,16]",1.00449096856913
"sig_b[1]",1.003560703604
"sig_b[2]",1.00263479412779
"sig_b[3]",1.00726590110816
"sig_b[4]",1.01364389821842
"sig_b[5]",1.01275292060924
"sig_b[6]",1.03580321148719
"sig_b[7]",1.02488149849625
"sig_b[8]",1.00921876702147
"sig_b[9]",1.00163511479994
"sig_b[10]",1.00398479985395
"sig_b[11]",1.00534538769025
"sig_b[12]",1.00064826469167
"sig_b[13]",1.02325487407827
"sig_b[14]",1.01141704904806
"sig_b[15]",1.08768662777458
"sig_b[16]",1.00216804051794
"sig_a",1.00161652740337
"sig_m",1.004811192383
"fint[1]",1.01821728527708
"fint[2]",1.01606587747689
"fint[3]",1.01335285960545
"fint[4]",1.01955959901338
"fint[5]",1.02387862966443
"fint[6]",1.01957605262611
"fint[7]",1.01654240564686
"fint[8]",1.01815633560133
"fint[9]",1.02543311776695
"fint[10]",1.00967419127155
"fint[11]",1.01134340448557
"fint[12]",1.0222387894175
"fint[13]",1.01166630822553
"fint[14]",1.00937815095202
"sig_f",1.00030564207731
"lp__",1.03842652953677
